Paginas,Rank
benshorts,0.02301603463022636
caligaris,0.014716507112452332
canela,0.024517985487149466
comino,0.03746552724403601
elbananero,0.07207675260998302
facebook,0.09990521430655246
google,0.10552150199052052
hacker,0.030394212335449353
hackernews,0.03222229030152857
laptop,0.019767635441116017
medium,0.06311420416119665
mentiras,0.048718170556303834
sopitas,0.06878731148544073
techcrunch,0.037640813757276785
theverge,0.048751878041665
twitter,0.09423007898857119
vine,0.0512724283426821
wired,0.035252878393072624
youtube,0.09262857481477692
